품목번호,관세율구분,관세율,단위당세액,기준가격,적용국가구분,용도세율구분,적용개시일,적용만료일,관세율구분값,국가
8486209320,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486209500,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486209900,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486401010,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486401030,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486401040,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486401090,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486402010,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486402031,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486402040,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486402070,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486402091,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486402099,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486403010,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486403090,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486902030,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486902040,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486902090,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486904000,C,0,,,1,,20240101,20241231,WTO협정세율,all
8504409011,C,0,,,1,,20240101,20241231,WTO협정세율,all
8516800000,C,13,,,1,,20240101,20241231,WTO협정세율,all
8523512090,C,0,,,1,,20240101,20241231,WTO협정세율,all
8534002000,C,0,,,1,,20240101,20241231,WTO협정세율,all
8536691000,C,0,,,1,C,20240101,20241231,WTO협정세율,all
8539491010,C,13,,,1,,20240101,20241231,WTO협정세율,all
8543709090,C,13,,,1,,20240101,20241231,WTO협정세율,all
8545190000,C,13,,,1,,20240101,20241231,WTO협정세율,all
8545909000,C,13,,,1,,20240101,20241231,WTO협정세율,all
8549211000,C,6.5,,,1,,20240101,20241231,WTO협정세율,all
8716809000,C,13,,,1,,20240101,20241231,WTO협정세율,all
9002909010,C,0,,,1,,20240101,20241231,WTO협정세율,all
9002909090,C,0,,,1,,20240101,20241231,WTO협정세율,all
9011809000,C,0,,,1,,20240101,20241231,WTO협정세율,all
9012101010,C,0,,,1,,20240101,20241231,WTO협정세율,all
9012101090,C,0,,,1,,20240101,20241231,WTO협정세율,all
9013200000,C,0,,,1,,20240101,20241231,WTO협정세율,all
9013809000,C,13,,,1,,20240101,20241231,WTO협정세율,all
9022192000,C,0,,,1,,20240101,20241231,WTO협정세율,all
9025191000,C,0,,,1,,20240101,20241231,WTO협정세율,all
9026101000,C,0,,,1,,20240101,20241231,WTO협정세율,all
9026204000,C,0,,,1,,20240101,20241231,WTO협정세율,all
9026209000,C,0,,,1,,20240101,20241231,WTO협정세율,all
9027100000,C,0,,,1,,20240101,20241231,WTO협정세율,all
9027509000,C,0,,,1,,20240101,20241231,WTO협정세율,all
9027892090,C,0,,,1,,20240101,20241231,WTO협정세율,all
9028201090,C,9,,,1,,20240101,20241231,WTO협정세율,all
9029109000,C,8,,,1,,20240101,20241231,WTO협정세율,all
9030310000,C,0,,,1,,20240101,20241231,WTO협정세율,all
9030331000,C,0,,,1,,20240101,20241231,WTO협정세율,all
9030820000,C,0,,,1,,20240101,20241231,WTO협정세율,all
9030890000,C,0,,,1,,20240101,20241231,WTO협정세율,all
9030901000,C,0,,,1,,20240101,20241231,WTO협정세율,all
9030909000,C,0,,,1,,20240101,20241231,WTO협정세율,all
9031419000,C,0,,,1,,20240101,20241231,WTO협정세율,all
9031499000,C,0,,,1,,20240101,20241231,WTO협정세율,all
9031809070,C,0,,,1,,20240101,20241231,WTO협정세율,all
9031901010,C,0,,,1,,20240101,20241231,WTO협정세율,all
9032894091,C,8,,,1,,20240101,20241231,WTO협정세율,all
9403209000,C,0,,,1,,20240101,20241231,WTO협정세율,all
3919900000,C1,0,,,1,A,20240101,20241231,WTO협정세율(선택1),all
3923100000,C1,0,,,1,,20240101,20241231,WTO협정세율(선택1),all
8479899099,C1,0,,,1,A,20240101,20241231,WTO협정세율(선택1),all
8543709090,C1,0,,,1,,20240101,20241231,WTO협정세율(선택1),all
8549211000,C1,5,,,1,,20240101,20241231,WTO협정세율(선택1),all
2812190000,E1,2.5,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(일반),한국 중국 인도 스리랑카 라오스 방글라데시
2812902000,E1,3.9,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(일반),한국 중국 인도 스리랑카 라오스 방글라데시
2814100000,E1,0.7,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(일반),한국 중국 인도 스리랑카 라오스 방글라데시
3208201030,E1,4.6,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(일반),한국 중국 인도 스리랑카 라오스 방글라데시
3405400000,E1,4.6,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(일반),한국 중국 인도 스리랑카 라오스 방글라데시
3701991000,E1,0,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(일반),한국 중국 인도 스리랑카 라오스 방글라데시
3707901010,E1,0.8,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(일반),한국 중국 인도 스리랑카 라오스 방글라데시
3707902090,E1,0.8,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(일반),한국 중국 인도 스리랑카 라오스 방글라데시
3814002110,E1,4.6,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(일반),한국 중국 인도 스리랑카 라오스 방글라데시
3824997100,E1,4.6,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(일반),한국 중국 인도 스리랑카 라오스 방글라데시
7020001019,E1,5.6,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(일반),한국 중국 인도 스리랑카 라오스 방글라데시
7115901090,E1,5.4,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(일반),한국 중국 인도 스리랑카 라오스 방글라데시
7326909000,E1,5.6,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(일반),한국 중국 인도 스리랑카 라오스 방글라데시
7419809000,E1,5.6,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(일반),한국 중국 인도 스리랑카 라오스 방글라데시
8421219020,E1,2,,,2,C,20240101,20241231,아시아ㆍ태평양 협정세율(일반),한국 중국 인도 스리랑카 라오스 방글라데시
8421399091,E1,2.9,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(일반),한국 중국 인도 스리랑카 라오스 방글라데시
8424899000,E1,6,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(일반),한국 중국 인도 스리랑카 라오스 방글라데시
8479899050,E1,5.4,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(일반),한국 중국 인도 스리랑카 라오스 방글라데시
8479899099,E1,5.4,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(일반),한국 중국 인도 스리랑카 라오스 방글라데시
8481100000,E1,6.2,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(일반),한국 중국 인도 스리랑카 라오스 방글라데시
8481202000,E1,5.2,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(일반),한국 중국 인도 스리랑카 라오스 방글라데시
8481300000,E1,6.2,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(일반),한국 중국 인도 스리랑카 라오스 방글라데시
8481801010,E1,4,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(일반),한국 중국 인도 스리랑카 라오스 방글라데시
8481801030,E1,4,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(일반),한국 중국 인도 스리랑카 라오스 방글라데시
8486904000,E1,0,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(일반),한국 중국 인도 스리랑카 라오스 방글라데시
8523512090,E1,0,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(일반),한국 중국 인도 스리랑카 라오스 방글라데시
8537105090,E1,5.6,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(일반),한국 중국 인도 스리랑카 라오스 방글라데시
8539491010,E1,2,,,2,A,20240101,20241231,아시아ㆍ태평양 협정세율(일반),한국 중국 인도 스리랑카 라오스 방글라데시
8545190000,E1,2.5,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(일반),한국 중국 인도 스리랑카 라오스 방글라데시
8545909000,E1,4,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(일반),한국 중국 인도 스리랑카 라오스 방글라데시
8549211000,E1,2.1,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(일반),한국 중국 인도 스리랑카 라오스 방글라데시
8716809000,E1,5.6,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(일반),한국 중국 인도 스리랑카 라오스 방글라데시
9002909010,E1,2.1,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(일반),한국 중국 인도 스리랑카 라오스 방글라데시
9012101090,E1,1.4,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(일반),한국 중국 인도 스리랑카 라오스 방글라데시
9013200000,E1,1.4,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(일반),한국 중국 인도 스리랑카 라오스 방글라데시
9013809000,E1,5.6,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(일반),한국 중국 인도 스리랑카 라오스 방글라데시
9022192000,E1,1.5,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(일반),한국 중국 인도 스리랑카 라오스 방글라데시
9027892090,E1,1.3,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(일반),한국 중국 인도 스리랑카 라오스 방글라데시
9029109000,E1,5.6,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(일반),한국 중국 인도 스리랑카 라오스 방글라데시
9030310000,E1,2.3,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(일반),한국 중국 인도 스리랑카 라오스 방글라데시
9030331000,E1,2.3,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(일반),한국 중국 인도 스리랑카 라오스 방글라데시
9030820000,E1,2.3,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(일반),한국 중국 인도 스리랑카 라오스 방글라데시
9030890000,E1,2.3,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(일반),한국 중국 인도 스리랑카 라오스 방글라데시
9030909000,E1,2.3,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(일반),한국 중국 인도 스리랑카 라오스 방글라데시
9031809070,E1,2.8,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(일반),한국 중국 인도 스리랑카 라오스 방글라데시
9032894091,E1,6,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(일반),한국 중국 인도 스리랑카 라오스 방글라데시
9027100000,E1A1,1.5,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(선택1),한국 중국 인도 스리랑카 라오스 방글라데시
9031499000,E1A1,1.4,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(선택1),한국 중국 인도 스리랑카 라오스 방글라데시
9027100000,E1A2,1.4,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(선택2),한국 중국 인도 스리랑카 라오스 방글라데시
9031499000,E1A2,1.3,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(선택2),한국 중국 인도 스리랑카 라오스 방글라데시
2814100000,E2,0,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(방글라데시),방글라데시
3926901000,E2,0,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(방글라데시),방글라데시
3926909000,E2,0,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(방글라데시),방글라데시
8545909000,E2,0,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(방글라데시),방글라데시
2814100000,E3,0,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(라오스),라오스
3926901000,E3,0,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(라오스),라오스
3926909000,E3,0,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(라오스),라오스
8545909000,E3,0,,,2,,20240101,20241231,아시아ㆍ태평양 협정세율(라오스),라오스
8421399091,F,5,,,1,,20240101,20241231,국제협력관세,all
8479899099,F,5,,,1,,20240101,20241231,국제협력관세,all
9013809000,F,5,,,1,,20240101,20241231,국제협력관세,all
9022192000,F,8,,,1,,20240101,20241231,국제협력관세,all
9027100000,F,5,,,1,,20240101,20241231,국제협력관세,all
9031499000,F,5,,,1,,20240101,20241231,국제협력관세,all
2812190000,FAS1,0,,,2,,20240101,20241231,한ㆍ아세안 FTA협정세율(선택1),브루나이 캄보디아 인도네시아 라오스 말레이시아 미얀마 필리핀 싱가포르 태국 베트남
2812902000,FAS1,0,,,2,,20240101,20241231,한ㆍ아세안 FTA협정세율(선택1),브루나이 캄보디아 인도네시아 라오스 말레이시아 미얀마 필리핀 싱가포르 태국 베트남
2812909000,FAS1,0,,,2,,20240101,20241231,한ㆍ아세안 FTA협정세율(선택1),브루나이 캄보디아 인도네시아 라오스 말레이시아 미얀마 필리핀 싱가포르 태국 베트남
2814100000,FAS1,0,,,2,,20240101,20241231,한ㆍ아세안 FTA협정세율(선택1),브루나이 캄보디아 인도네시아 라오스 말레이시아 미얀마 필리핀 싱가포르 태국 베트남
2843301000,FAS1,0,,,2,,20240101,20241231,한ㆍ아세안 FTA협정세율(선택1),브루나이 캄보디아 인도네시아 라오스 말레이시아 미얀마 필리핀 싱가포르 태국 베트남
2923900000,FAS1,0,,,2,,20240101,20241231,한ㆍ아세안 FTA협정세율(선택1),브루나이 캄보디아 인도네시아 라오스 말레이시아 미얀마 필리핀 싱가포르 태국 베트남
3208201030,FAS1,0,,,2,,20240101,20241231,한ㆍ아세안 FTA협정세율(선택1),브루나이 캄보디아 인도네시아 라오스 말레이시아 미얀마 필리핀 싱가포르 태국 베트남
3405400000,FAS1,0,,,2,,20240101,20241231,한ㆍ아세안 FTA협정세율(선택1),브루나이 캄보디아 인도네시아 라오스 말레이시아 미얀마 필리핀 싱가포르 태국 베트남
3701991000,FAS1,0,,,2,,20240101,20241231,한ㆍ아세안 FTA협정세율(선택1),브루나이 캄보디아 인도네시아 라오스 말레이시아 미얀마 필리핀 싱가포르 태국 베트남
3707901010,FAS1,0,,,2,,20240101,20241231,한ㆍ아세안 FTA협정세율(선택1),브루나이 캄보디아 인도네시아 라오스 말레이시아 미얀마 필리핀 싱가포르 태국 베트남
3707902090,FAS1,5,,,2,,20240101,20241231,한ㆍ아세안 FTA협정세율(선택1),브루나이 캄보디아 인도네시아 라오스 말레이시아 미얀마 필리핀 싱가포르 태국 베트남
3814002110,FAS1,0,,,2,,20240101,20241231,한ㆍ아세안 FTA협정세율(선택1),브루나이 캄보디아 인도네시아 라오스 말레이시아 미얀마 필리핀 싱가포르 태국 베트남
3818001000,FAS1,0,,,2,,20240101,20241231,한ㆍ아세안 FTA협정세율(선택1),브루나이 캄보디아 인도네시아 라오스 말레이시아 미얀마 필리핀 싱가포르 태국 베트남
3824997100,FAS1,0,,,2,,20240101,20241231,한ㆍ아세안 FTA협정세율(선택1),브루나이 캄보디아 인도네시아 라오스 말레이시아 미얀마 필리핀 싱가포르 태국 베트남
3919900000,FAS1,0,,,2,,20240101,20241231,한ㆍ아세안 FTA협정세율(선택1),브루나이 캄보디아 인도네시아 라오스 말레이시아 미얀마 필리핀 싱가포르 태국 베트남
3923100000,FAS1,0,,,2,,20240101,20241231,한ㆍ아세안 FTA협정세율(선택1),브루나이 캄보디아 인도네시아 라오스 말레이시아 미얀마 필리핀 싱가포르 태국 베트남
3926901000,FAS1,0,,,2,,20240101,20241231,한ㆍ아세안 FTA협정세율(선택1),브루나이 캄보디아 인도네시아 라오스 말레이시아 미얀마 필리핀 싱가포르 태국 베트남
3926909000,FAS1,0,,,2,,20240101,20241231,한ㆍ아세안 FTA협정세율(선택1),브루나이 캄보디아 인도네시아 라오스 말레이시아 미얀마 필리핀 싱가포르 태국 베트남
6804229000,FAS1,0,,,2,,20240101,20241231,한ㆍ아세안 FTA협정세율(선택1),브루나이 캄보디아 인도네시아 라오스 말레이시아 미얀마 필리핀 싱가포르 태국 베트남
6815191000,FAS1,0,,,2,,20240101,20241231,한ㆍ아세안 FTA협정세율(선택1),브루나이 캄보디아 인도네시아 라오스 말레이시아 미얀마 필리핀 싱가포르 태국 베트남
